Molecular/Biological/Cellular Ontology Terms: 

GO:0043565      sequence-specific DNA binding                                                                                            ['Klf4', 'Ascl1', 'Foxp2', 'Mef2c']     
GO:0003180      aortic valve morphogenesis                                                                                               ['Rb1']                                 
R-MMU-174143    APC/C-mediated degradation of cell cycle proteins                                                                        ['Rb1']                                 
GO:0001959      regulation of cytokine-mediated signaling pathway                                                                        ['Cd24a']                               
GO:0005525      GTP binding                                                                                                              ['Rapgef5', 'Gtpbp1', 'Arl15', 'Tubg2'] 
R-MMU-8980692   RHOA GTPase cycle                                                                                                        ['Arhgap42', 'Erbin']                   
GO:2000114      regulation of establishment of cell polarity                                                                             ['Ripor2']                              
R-MMU-3000171   Non-integrin membrane-ECM interactions                                                                                   ['Prkca']                               
GO:0048015      phosphatidylinositol-mediated signaling                                                                                  ['Igf1']                                
GO:0043491      protein kinase B signaling                                                                                               ['Igf1']                                
GO:0044294      dendritic growth cone                                                                                                    ['Cdkl5']                               
GO:0001664      G protein-coupled receptor binding                                                                                       ['Wnt3']                                
GO:0051607      defense response to virus                                                                                                ['Abcf3']                               
GO:1901741      positive regulation of myoblast fusion                                                                                   ['Ripor2', 'Adgrb1']                    
R-MMU-71291     Metabolism of amino acids and derivatives                                                                                ['Cdo1']                                
GO:0014834      skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration                                      ['Igf1']                                
GO:0071363      cellular response to growth factor stimulus                                                                              ['Klf4', 'Tgfb3', 'Tspan5', 'Mef2c']    
GO:0008289      lipid binding                                                                                                            ['Snx13', 'Prkca']                      
GO:0048306      calcium-dependent protein binding                                                                                        ['Cabp1']                               
GO:0043409      negative regulation of MAPK cascade                                                                                      ['Prkca']                               
GO:0035269      protein O-linked mannosylation                                                                                           ['Tmtc4']                               
GO:0015291      secondary active transmembrane transporter activity                                                                      ['Slco3a1']                             
R-MMU-170660    Adenylate cyclase activating pathway                                                                                     ['Adcy8']                               
GO:0006357      regulation of transcription by RNA polymerase II                                                                         ['Emx2', 'Klf4', 'Ascl1', 'Foxp2', 'Fbxl19', 'Hopx', 'Sox5', 'Zbtb43', 'Zfp386', 'Ctbp2', 'Rb1', 'Bcl11a']
GO:0032729      positive regulation of type II interferon production                                                                     ['Cd276']                               
GO:0006629      lipid metabolic process                                                                                                  ['St6galnac5']                          
GO:1902476      chloride transmembrane transport                                                                                         ['Gabrr1']                              
GO:0015917      aminophospholipid transport                                                                                              ['Scarb2']                              
GO:0001566      non-kinase phorbol ester receptor activity                                                                               ['Unc13c']                              
GO:0005751      mitochondrial respiratory chain complex IV                                                                               ['Scaf1']                               
GO:0045892      negative regulation of DNA-templated transcription                                                                       ['Klf4', 'Sfmbt2', 'Ascl1', 'Foxp2', 'Sox5', 'Cipc', 'Hdac9', 'Ctbp2', 'Cry1', 'Rb1', 'Tle4']
GO:0060323      head morphogenesis                                                                                                       ['Wnt3']                                
GO:0006974      DNA damage response                                                                                                      ['Cdkn2aip']                            
R-MMU-69242     S Phase                                                                                                                  ['Rb1']                                 
GO:0047631      ADP-ribose diphosphatase activity                                                                                        ['Nudt9']                               
GO:0051384      response to glucocorticoid                                                                                               ['Cdo1']                                
GO:0051491      positive regulation of filopodium assembly                                                                               ['Prkcq', 'Tgfb3', 'Ripor2']            
GO:0098978      glutamatergic synapse                                                                                                    ['C1ql2', 'Gabrr1', 'Adcy8', 'Erbin', 'Igf1', 'Cabp1', 'Ctbp2', 'Adgrb1', 'Rims4', 'Gria1', 'Cdkl5', 'Nrp2']
GO:0007400      neuroblast fate determination                                                                                            ['Ascl1']                               
GO:0090575      RNA polymerase II transcription regulator complex                                                                        ['Ascl1']                               
R-MMU-5673001   RAF/MAP kinase cascade                                                                                                   ['Prkcq', 'Fgf9']                       
GO:0002039      p53 binding                                                                                                              ['Cdkn2aip']                            
GO:0071374      cellular response to parathyroid hormone stimulus                                                                        ['Mef2c']                               
GO:0050974      detection of mechanical stimulus involved in sensory perception                                                          ['Igf1']                                
GO:0030681      multimeric ribonuclease P complex                                                                                        ['Rpp25']                               
GO:0005102      signaling receptor binding                                                                                               ['Wnt3', 'Cd276', 'Erbin']              
GO:0002189      ribose phosphate diphosphokinase complex                                                                                 ['Prpsap2']                             
R-MMU-1430728   Metabolism                                                                                                               ['Hs3st3a1', 'Slc44a5', 'Hs3st3b1', 'Lhpp', 'Pdp2', 'Cdo1', 'Itpk1', 'Cndp2', 'Nudt9', 'Scaf1', 'Prkca', 'Inpp1']
GO:0044338      canonical Wnt signaling pathway involved in mesenchymal stem cell differentiation                                        ['Wnt3']                                
R-MMU-168249    Innate Immune System                                                                                                     ['Nfam1', 'Prkcq']                      
GO:0006509      membrane protein ectodomain proteolysis                                                                                  ['Prkcq']                               
R-MMU-6811558   PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling                                                                          ['Fgf9']                                
GO:0019722      calcium-mediated signaling                                                                                               ['Cd24a']                               
R-MMU-9716542   Signaling by Rho GTPases, Miro GTPases and RHOBTB3                                                                       ['Arhgap42', 'Erbin', 'Prkca']          
GO:0008143      poly(A) binding                                                                                                          ['Pabpc5']                              
GO:0015485      cholesterol binding                                                                                                      ['Scarb2']                              
GO:0031625      ubiquitin protein ligase binding                                                                                         ['Mc4r', 'Rb1']                         
R-MMU-5654700   FRS-mediated FGFR2 signaling                                                                                             ['Fgf9']                                
GO:0070161      anchoring junction                                                                                                       ['Pard3b', 'Prag1', 'Erbin', 'Adgrb1', 'Flrt1']
GO:0008066      glutamate receptor activity                                                                                              ['Gria1']                               
R-MMU-1227986   Signaling by ERBB2                                                                                                       ['Erbin', 'Prkca']                      
GO:0042103      positive regulation of T cell homeostatic proliferation                                                                  ['Cd24a']                               
GO:0003835      beta-galactoside alpha-2,6-sialyltransferase activity                                                                    ['St6gal2']                             
GO:1904193      negative regulation of cholangiocyte apoptotic process                                                                   ['Igf1']                                
GO:0060283      negative regulation of oocyte development                                                                                ['Igf1']                                
GO:0036064      ciliary basal body                                                                                                       ['Cdkl5', 'Prkca']                      
GO:0004869      cysteine-type endopeptidase inhibitor activity                                                                           ['Ube2z']                               
GO:0045121      membrane raft                                                                                                            ['Nfam1', 'Adcy8', 'Cd24a']             
GO:0030166      proteoglycan biosynthetic process                                                                                        ['Igf1']                                
GO:0007169      transmembrane receptor protein tyrosine kinase signaling pathway                                                         ['Tspan5']                              
GO:0003151      outflow tract morphogenesis                                                                                              ['Mef2c']                               
GO:0043154      negative regulation of cysteine-type endopeptidase activity involved in apoptotic process                                ['Siah2', 'Klf4', 'Igf1']               
GO:0051924      regulation of calcium ion transport                                                                                      ['Igf1']                                
GO:0001772      immunological synapse                                                                                                    ['Prkcq']                               
GO:0051216      cartilage development                                                                                                    ['Sox5']                                
GO:0035630      bone mineralization involved in bone maturation                                                                          ['Igf1']                                
GO:0030198      extracellular matrix organization                                                                                        ['Adamtsl1']                            
GO:0048730      epidermis morphogenesis                                                                                                  ['Klf4']                                
GO:0031490      chromatin DNA binding                                                                                                    ['Klf4']                                
GO:0048469      cell maturation                                                                                                          ['Ascl1']                               
GO:0016925      protein sumoylation                                                                                                      ['Bcl11a']                              
GO:1990314      cellular response to insulin-like growth factor stimulus                                                                 ['Igf1']                                
GO:0007611      learning or memory                                                                                                       ['Prkca', 'Mef2c']                      
GO:1900026      positive regulation of substrate adhesion-dependent cell spreading                                                       ['Carmil1']                             
GO:1904322      cellular response to forskolin                                                                                           ['Adcy8']                               
R-MMU-69236     G1 Phase                                                                                                                 ['Rb1']                                 
R-MMU-8953854   Metabolism of RNA                                                                                                        ['Rpp25', 'Prkca']                      
GO:0006054      N-acetylneuraminate metabolic process                                                                                    ['St6gal2']                             
GO:2000781      positive regulation of double-strand break repair                                                                        ['Ooep']                                
GO:0051087      protein-folding chaperone binding                                                                                        ['Scarb2']                              
GO:0035254      glutamate receptor binding                                                                                               ['Gria1']                               
GO:0051639      actin filament network formation                                                                                         ['Carmil1']                             
GO:0030056      hemidesmosome                                                                                                            ['Erbin']                               
GO:0048485      sympathetic nervous system development                                                                                   ['Ascl1']                               
GO:0001818      negative regulation of cytokine production                                                                               ['Hdac9']                               
GO:0050730      regulation of peptidyl-tyrosine phosphorylation                                                                          ['Prkca']                               
GO:0042752      regulation of circadian rhythm                                                                                           ['Siah2', 'Cry1']                       
GO:2001234      negative regulation of apoptotic signaling pathway                                                                       ['Rb1']                                 
GO:1990680      response to melanocyte-stimulating hormone                                                                               ['Mc4r']                                
GO:0016192      vesicle-mediated transport                                                                                               ['Tbc1d4', 'Tvp23b']                    
GO:0021879      forebrain neuron differentiation                                                                                         ['Ascl1']                               
R-MMU-419037    NCAM1 interactions                                                                                                       ['St8sia2']                             
GO:1905474      canonical Wnt signaling pathway involved in stem cell proliferation                                                      ['Wnt3']                                
GO:2000310      regulation of NMDA receptor activity                                                                                     ['Mef2c']                               
GO:0032570      response to progesterone                                                                                                 ['Tgfb3']                               
GO:0051336      regulation of hydrolase activity                                                                                         ['Scarb2']                              
GO:0021758      putamen development                                                                                                      ['Foxp2']                               
GO:0045773      positive regulation of axon extension                                                                                    ['Cdkl5']                               
GO:0009312      oligosaccharide biosynthetic process                                                                                     ['St6galnac5']                          
GO:0001919      regulation of receptor recycling                                                                                         ['Gria1']                               
GO:0033632      regulation of cell-cell adhesion mediated by integrin                                                                    ['Cd24a']                               
GO:0045177      apical part of cell                                                                                                      ['Ooep', 'Prkca']                       
GO:0016772      transferase activity, transferring phosphorus-containing groups                                                          ['Prpsap2']                             
GO:0055085      transmembrane transport                                                                                                  ['Slc44a5', 'Slco3a1']                  
GO:0048787      presynaptic active zone membrane                                                                                         ['Cplx3', 'Gria1']                      
GO:0098685      Schaffer collateral - CA1 synapse                                                                                        ['Adcy8']                               
GO:0004169      dolichyl-phosphate-mannose-protein mannosyltransferase activity                                                          ['Tmtc4']                               
GO:0001525      angiogenesis                                                                                                             ['Fgf9', 'Prkca', 'Nrp2']               
GO:0030332      cyclin binding                                                                                                           ['Cdk19', 'Cdkl5']                      
GO:0050768      negative regulation of neurogenesis                                                                                      ['Cd24a']                               
GO:0042593      glucose homeostasis                                                                                                      ['Adcy8', 'Cry1']                       
GO:1904694      negative regulation of vascular associated smooth muscle contraction                                                     ['Arhgap42']                            
GO:0015629      actin cytoskeleton                                                                                                       ['Adcy8', 'Tspan5']                     
R-MMU-4641265   Repression of WNT target genes                                                                                           ['Ctbp2', 'Tle4']                       
GO:0071377      cellular response to glucagon stimulus                                                                                   ['Adcy8']                               
R-MMU-983231    Factors involved in megakaryocyte development and platelet production                                                    ['Itpk1', 'Carmil1']                    
GO:0045821      positive regulation of glycolytic process                                                                                ['Igf1']                                
GO:0034315      regulation of Arp2/3 complex-mediated actin nucleation                                                                   ['Carmil1']                             
GO:0043235      receptor complex                                                                                                         ['Gabrr1', 'Shisa8', 'Gria1']           
GO:0004697      protein kinase C activity                                                                                                ['Prkcq', 'Prkca']                      
GO:1902895      positive regulation of miRNA transcription                                                                               ['Klf4']                                
R-MMU-422475    Axon guidance                                                                                                            ['Prkcq', 'Siah2', 'St8sia2', 'Prkca']  
GO:0008061      chitin binding                                                                                                           ['Fibcd1']                              
GO:0032332      positive regulation of chondrocyte differentiation                                                                       ['Sox5']                                
GO:0005021      vascular endothelial growth factor receptor activity                                                                     ['Nrp2']                                
GO:0006605      protein targeting                                                                                                        ['Erbin']                               
R-MMU-2980736   Peptide hormone metabolism                                                                                               ['Igf1']                                
GO:0045786      negative regulation of cell cycle                                                                                        ['Rb1']                                 
GO:0003713      transcription coactivator activity                                                                                       ['Lmo1', 'Trim8', 'Ctbp2']              
GO:0000976      transcription cis-regulatory region binding                                                                              ['Klf4', 'Sox5', 'Mef2c']               
GO:0030501      positive regulation of bone mineralization                                                                               ['Cd276', 'Mef2c']                      
GO:0016514      SWI/SNF complex                                                                                                          ['Bcl11a']                              
R-MMU-5654687   Downstream signaling of activated FGFR1                                                                                  ['Fgf9', 'Flrt1']                       
R-MMU-9012999   RHO GTPase cycle                                                                                                         ['Arhgap42', 'Erbin']                   
GO:0005929      cilium                                                                                                                   ['D1Ertd622e']                          
GO:0008083      growth factor activity                                                                                                   ['Tgfb3', 'Fgf9', 'Igf1']               
GO:0010596      negative regulation of endothelial cell migration                                                                        ['Adgrb1']                              
GO:0048839      inner ear development                                                                                                    ['Igf1', 'Cxcl14']                      
R-MMU-2871837   FCERI mediated NF-kB activation                                                                                          ['Prkcq']                               
GO:0042165      neurotransmitter binding                                                                                                 ['Gabrr1', 'Gria1']                     
GO:0097192      extrinsic apoptotic signaling pathway in absence of ligand                                                               ['Igf1']                                
GO:0016235      aggresome                                                                                                                ['Prkcq', 'Sfmbt2']                     
GO:0008528      G protein-coupled peptide receptor activity                                                                              ['Mc4r']                                
R-MMU-6794362   Protein-protein interactions at synapses                                                                                 ['Gria1']                               
GO:0018107      peptidyl-threonine phosphorylation                                                                                       ['Prkca']                               
GO:0031666      positive regulation of lipopolysaccharide-mediated signaling pathway                                                     ['Prkca']                               
GO:0001783      B cell apoptotic process                                                                                                 ['Cd24a']                               
GO:0022841      potassium ion leak channel activity                                                                                      ['Kcnk12']                              
GO:0048742      regulation of skeletal muscle fiber development                                                                          ['Hdac9']                               
GO:0035033      histone deacetylase regulator activity                                                                                   ['Hopx']                                
GO:0071864      positive regulation of cell proliferation in bone marrow                                                                 ['Mef2c']                               
GO:0006836      neurotransmitter transport                                                                                               ['Cplx3', 'Rims4']                      
R-MMU-8852135   Protein ubiquitination                                                                                                   ['Ube2z']                               
GO:0005730      nucleolus                                                                                                                ['Rgs12', 'Cipc', 'Scaf1', 'Cdkn2aip']  
R-MMU-2428924   IGF1R signaling cascade                                                                                                  ['Fgf9', 'Igf1']                        
GO:0042734      presynaptic membrane                                                                                                     ['Gabrr1', 'Adcy8', 'Rims4', 'Gria1', 'Unc13c']
GO:0003723      RNA binding                                                                                                              ['Rpp25', 'Ooep', 'Pcbp3', 'Scaf1', 'Cdkn2aip', 'Fam172a']
GO:0051131      chaperone-mediated protein complex assembly                                                                              ['Hopx']                                
GO:0047484      regulation of response to osmotic stress                                                                                 ['Prkca']                               
GO:0071902      positive regulation of protein serine/threonine kinase activity                                                          ['Igf1']                                
GO:0030308      negative regulation of cell growth                                                                                       ['Cdkn2aip', 'Rb1']                     
GO:0001701      in utero embryonic development                                                                                           ['Ooep', 'Tgfb3', 'Sox5']               
GO:0043202      lysosomal lumen                                                                                                          ['Scarb2']                              
GO:0035970      peptidyl-threonine dephosphorylation                                                                                     ['Pdp2']                                
GO:0035197      siRNA binding                                                                                                            ['Fam172a']                             
GO:0036094      small molecule binding                                                                                                   ['Gria1']                               
GO:0005230      extracellular ligand-gated monoatomic ion channel activity                                                               ['Gabrr1']                              
GO:0010613      positive regulation of cardiac muscle hypertrophy                                                                        ['Igf1', 'Prkca', 'Mef2c']              
GO:0016702      oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen ['Cdo1']                                
GO:0098839      postsynaptic density membrane                                                                                            ['Gria1']                               
GO:0042632      cholesterol homeostasis                                                                                                  ['Hdac9', 'Cd24a']                      
GO:0051642      centrosome localization                                                                                                  ['Pard3b']                              
GO:0048702      embryonic neurocranium morphogenesis                                                                                     ['Tgfb3']                               
GO:0043353      enucleate erythrocyte differentiation                                                                                    ['Rb1']                                 
GO:0099175      regulation of postsynapse organization                                                                                   ['Cdkl5', 'Nrp2']                       
GO:0045597      positive regulation of cell differentiation                                                                              ['Sox5']                                
R-MMU-5654733   Negative regulation of FGFR4 signaling                                                                                   ['Fgf9']                                
GO:0007521      muscle cell fate determination                                                                                           ['Mef2c']                               
GO:0031406      carboxylic acid binding                                                                                                  ['Gria1']                               
GO:0010628      positive regulation of gene expression                                                                                   ['Klf4', 'Tgfb3', 'Fgf9', 'Wnt3', 'Igf1', 'Gria1', 'Bcl11a', 'Mef2c']
R-MMU-425397    Transport of vitamins, nucleosides, and related molecules                                                                ['Slco3a1']                             
GO:0015630      microtubule cytoskeleton                                                                                                 ['Klf4']                                
GO:0005901      caveola                                                                                                                  ['Adcy8']                               
GO:0051496      positive regulation of stress fiber assembly                                                                             ['Prkcq', 'Tgfb3', 'Carmil1']           
GO:0070233      negative regulation of T cell apoptotic process                                                                          ['Prkcq']                               
GO:0051660      establishment of centrosome localization                                                                                 ['Pard3b']                              
GO:0005159      insulin-like growth factor receptor binding                                                                              ['Igf1']                                
GO:0060463      lung lobe morphogenesis                                                                                                  ['Igf1']                                
GO:0031965      nuclear membrane                                                                                                         ['Nudt9']                               
GO:0060395      SMAD protein signal transduction                                                                                         ['Tgfb3']                               
R-MMU-8863795   Downregulation of ERBB2 signaling                                                                                        ['Erbin']                               
GO:0042325      regulation of phosphorylation                                                                                            ['Cd24a']                               
R-MMU-109581    Apoptosis                                                                                                                ['Prkcq']                               
GO:0061036      positive regulation of cartilage development                                                                             ['Sox5']                                
GO:0051145      smooth muscle cell differentiation                                                                                       ['Mef2c']                               
GO:0003680      minor groove of adenine-thymine-rich DNA binding                                                                         ['Mef2c']                               
GO:0046854      phosphatidylinositol phosphate biosynthetic process                                                                      ['Inpp1']                               
GO:0030326      embryonic limb morphogenesis                                                                                             ['Fgf9']                                
R-MMU-9013026   RHOB GTPase cycle                                                                                                        ['Erbin']                               
GO:0005654      nucleoplasm                                                                                                              ['Mcc', 'Siah2', 'Rpp25', 'Klf4', 'Rgs12', 'Sfmbt2', 'Rapgef5', 'Cipc', 'Cdk19', 'Cndp2', 'Carmil1', 'Ube2z', 'Tspan5', 'Cry1', 'Cdkn2aip', 'Cdkl5', 'Rb1', 'Tle4', 'Bcl11a', 'Stk40', 'Mef2c']
GO:0000149      SNARE binding                                                                                                            ['Cplx3']                               
GO:0032957      inositol trisphosphate metabolic process                                                                                 ['Itpk1']                               
R-MMU-190371    FGFR3b ligand binding and activation                                                                                     ['Fgf9']                                
GO:0008092      cytoskeletal protein binding                                                                                             ['Epb41l4a']                            
R-MMU-381426    Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs) ['Igf1']                                
GO:0061103      carotid body glomus cell differentiation                                                                                 ['Ascl1']                               
GO:0070382      exocytic vesicle                                                                                                         ['Igf1']                                
GO:0015132      prostaglandin transmembrane transporter activity                                                                         ['Slco3a1']                             
GO:0071277      cellular response to calcium ion                                                                                         ['Adcy8', 'Mef2c']                      
GO:0060741      prostate gland stromal morphogenesis                                                                                     ['Igf1']                                
GO:0005905      clathrin-coated pit                                                                                                      ['Adcy8']                               
GO:0008284      positive regulation of cell population proliferation                                                                     ['Tgfb3', 'Fgf9', 'Igf1']               
GO:0045651      positive regulation of macrophage differentiation                                                                        ['Rb1', 'Prkca']                        
GO:0004930      G protein-coupled receptor activity                                                                                      ['Mc4r', 'Adgrb1']                      
GO:0002024      diet induced thermogenesis                                                                                               ['Mc4r']                                
GO:0003211      cardiac ventricle formation                                                                                              ['Mef2c']                               
R-MMU-74751     Insulin receptor signalling cascade                                                                                      ['Fgf9']                                
GO:1900142      negative regulation of oligodendrocyte apoptotic process                                                                 ['Igf1']                                
GO:0019228      neuronal action potential                                                                                                ['Gria1']                               
GO:1990416      cellular response to brain-derived neurotrophic factor stimulus                                                          ['Tmem108', 'Gria1']                    
GO:0016791      phosphatase activity                                                                                                     ['Lhpp']                                
GO:0008233      peptidase activity                                                                                                       ['Cndp2']                               
GO:0003358      noradrenergic neuron development                                                                                         ['Ascl1']                               
GO:0042802      identical protein binding                                                                                                ['C1ql2', 'Gabrr1', 'Tgfb3', 'Prag1', 'Ascl1', 'Trim8', 'Zmat4', 'Foxp2', 'Cd276', 'Ripor2', 'Prpsap2', 'Cabp1', 'Ctbp2', 'Cap2', 'Gria1', 'Rb1', 'Col25a1', 'Nrp2']
GO:0007264      small GTPase mediated signal transduction                                                                                ['Rapgef5']                             
GO:0006900      vesicle budding from membrane                                                                                            ['Adgrb1', 'Scarb2']                    
GO:0032753      positive regulation of interleukin-4 production                                                                          ['Prkcq']                               
GO:1904707      positive regulation of vascular associated smooth muscle cell proliferation                                              ['Fgf9', 'Igf1']                        
GO:1900273      positive regulation of long-term synaptic potentiation                                                                   ['Adcy8']                               
GO:0106016      positive regulation of inflammatory response to wounding                                                                 ['Cd24a']                               
GO:0048843      negative regulation of axon extension involved in axon guidance                                                          ['Wnt3']                                
GO:0030141      secretory granule                                                                                                        ['Tgfb3', 'Cabp1']                      
R-MMU-6791226   Major pathway of rRNA processing in the nucleolus and cytosol                                                            ['Rpp25']                               
R-MMU-8866652   Synthesis of active ubiquitin: roles of E1 and E2 enzymes                                                                ['Ube2z']                               
GO:0032496      response to lipopolysaccharide                                                                                           ['Erbin']                               
GO:0005125      cytokine activity                                                                                                        ['Tgfb3', 'Wnt3', 'Cxcl14']             
GO:0005634      nucleus                                                                                                                  ['Mcc', 'Siah2', 'Emx2', 'Rpp25', 'Klf4', 'Ooep', 'Prag1', 'Pabpc5', 'Lhpp', 'Lmo1', 'Rgs12', 'Sfmbt2', 'Zfp120', 'Ascl1', 'Pcbp3', 'Rapgef5', 'Trim8', 'Zmat4', 'Foxp2', 'Hopx', 'Tubg2', 'Sox5', 'Cipc', 'Zmat1', 'Erbin', 'Zbtb43', 'Zfp386', 'Hdac9', 'Cdk19', 'Cabp1', 'Ctbp2', 'Ube2z', 'Scaf1', 'Wdr70', 'Cry1', 'Cdkn2aip', 'Fam172a', 'Cdkl5', 'Rb1', 'Tle4', 'Prkca', 'Bcl11a', 'Stk40', 'Mef2c']
R-MMU-425366    Transport of bile salts and organic acids, metal ions and amine compounds                                                ['Slc44a5']                             
GO:0001782      B cell homeostasis                                                                                                       ['Mef2c']                               
